date,distance(A-B),distance(A-C),distance(A-D),distance(B-C),distance(B-D),distance(C-D),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2025-08-22 00:00:00+00:00,999.2447360754202,0,0,0,0,0,69.29293683661741,69.45358213577695,6978189.5371529125,97.75329944443291,0.0017571718488257604,247.56950103495524,44.76869145571915,-153.44160005778872
2025-08-23 00:00:00+00:00,1000.5539784892813,0,0,0,0,0,69.59298839901028,69.7575594711785,6978188.401215392,97.7532986637066,0.0017052551975106308,248.54877115418645,-316.88530705671155,163.03380826359518
2025-08-24 00:00:00+00:00,1001.7078465606094,0,0,0,0,0,69.89398886126325,70.06265886081093,6978187.265869615,97.75329788497959,0.0016519296717576197,249.52804221828228,41.4601758120051,119.51103875144248
2025-08-25 00:00:00+00:00,1001.5030139286305,0,0,0,0,0,70.19573307525985,70.36868068036654,6978186.115357943,97.75329710945313,0.0015972384801964605,250.50731423561416,39.80518676036363,75.99005416648981
2025-08-26 00:00:00+00:00,1002.1243654626867,0,0,0,0,0,70.49801030021078,70.67541978283789,6978184.947429022,97.75329633641819,0.0015412274318558675,251.48658721012652,38.14967357953084,32.47092603697777
2025-08-27 00:00:00+00:00,1003.8086654179205,0,0,0,0,0,70.80060423930799,70.98266549925881,6978183.793457755,97.75329557506184,0.0014839463297118053,252.46586113343392,36.49352898142203,-11.046240546081412
2025-08-28 00:00:00+00:00,1003.6348287871509,0,0,0,0,0,71.10329294207169,71.29020152965693,6978182.629111993,97.75329482611929,0.0014254416317245565,253.44513600109687,34.83669224826773,-54.561381271129434
2025-08-29 00:00:00+00:00,1001.2821914492208,0,0,0,0,0,71.40584853320539,71.59780562802105,6978181.467880958,97.75329408533864,0.001365760507295822,254.4244118060589,33.17907884075029,-98.07441278243736
2025-08-30 00:00:00+00:00,1000.1619701847013,0,0,0,0,0,71.70803684307364,71.90524921551743,6978180.297538202,97.75329335673804,0.0013049535361037176,255.40368854065764,31.520602544186353,-141.58524216616996
2025-08-31 00:00:00+00:00,1001.3583636577753,0,0,0,0,0,72.00961702913408,72.2122969704784,6978179.121041507,97.75329264572197,0.0012430714435155592,256.38296619733956,-330.13893696536223,174.90634215140864
2025-09-01 00:00:00+00:00,1002.1086987015361,0,0,0,0,0,72.31034122461519,72.51870639428122,6978177.927524702,97.75329195047432,0.0011801655691313622,257.3622447733334,28.200360127664894,131.40045057195246
2025-09-02 00:00:00+00:00,1001.5221221978757,0,0,0,0,0,72.60995425041348,72.82422749991812,6978176.7529025,97.75329127288585,0.0011162883890305914,258.34152425223755,26.538277175184376,87.89729939943227
2025-09-03 00:00:00+00:00,1001.9948325746514,0,0,0,0,0,72.90819342285681,73.12860254180643,6978175.540408604,97.75329061403947,0.0010514923598499018,259.3208046297201,24.874571629289015,44.39714343188782
2025-09-04 00:00:00+00:00,1003.7418700739878,0,0,0,0,0,73.20478847687306,73.43156583871013,6978174.338551279,97.75328997658394,0.000985833466704106,260.3000858896958,23.20891321981005,0.9003243288565491
2025-09-05 00:00:00+00:00,1003.8071801316635,0,0,0,0,0,73.49946154415503,73.73284367028138,6978173.118300542,97.75328935840321,0.0009193630969505439,261.27936802443236,21.540877283139853,-42.592721655583155
