date,distance(Seed-Derived),distance(Seed-Seed2),distance(Seed-Derived2),distance(Derived-Seed2),distance(Derived-Derived2),distance(Seed2-Derived2),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2025-08-31 00:00:00+00:00,997.4906257655382,0,0,0,0,0,-24.056597292692565,-24.604866252995443,6978186.571797875,97.75364297972651,0.0012401577547905378,135.91531713485995,-330.7944030705952,175.19345467432655
2025-09-01 00:00:00+00:00,998.1809383382914,0,0,0,0,0,-23.956254918342477,-24.505032737941026,6978185.4645871725,97.75364728412183,0.0011775055122030139,136.89463697956552,27.545443524210587,131.67847917821766
2025-09-02 00:00:00+00:00,997.3599652350708,0,0,0,0,0,-23.85330768222308,-24.402570844818392,6978184.3699435005,97.75365159951625,0.0011138838185483447,137.87395827854098,25.88417562749208,88.16588225903513
2025-09-03 00:00:00+00:00,997.7326024450495,0,0,0,0,0,-23.7478260066833,-24.297550549829964,6978183.255804518,97.75365592415602,0.001049346350371186,138.85328101829793,24.221556763645722,44.65590777592807
2025-09-04 00:00:00+00:00,999.5602764837411,0,0,0,0,0,-23.639885421192062,-24.19004696446476,6978182.1179411905,97.75366025312212,0.0009839434349832165,139.83260519135524,22.55728995323007,1.1488752075007098
2025-09-05 00:00:00+00:00,999.572070525128,0,0,0,0,0,-23.529566791194313,-24.080140564061598,6978180.984288907,97.7536645989649,0.0009177340524802828,140.81193078701745,20.891127249556842,-42.35495644422337
2025-09-06 00:00:00+00:00,997.3798082178608,0,0,0,0,0,-23.41695648778515,-23.967917358395187,6978179.84559657,97.75366895846601,0.0008507715619051682,141.79125778252435,19.222489128795296,-85.85500668356472
2025-09-07 00:00:00+00:00,996.5181374596186,0,0,0,0,0,-23.302146332515886,-23.85346884872593,6978178.680917047,97.75367332589929,0.0007831064934834629,142.77058616756582,17.550826788195746,-129.35070872436836
2025-09-08 00:00:00+00:00,997.8314958560368,0,0,0,0,0,-23.185233230588764,-23.73689163883509,6978177.518212568,97.75367771188509,0.0007148014830192499,143.74991592723177,15.87519632436512,-172.84110490779494
2025-09-09 00:00:00+00:00,998.2071642661112,0,0,0,0,0,-23.066318327270896,-23.6182865975262,6978176.349677106,97.75368211370254,0.0006459110331398795,144.72924703865408,14.194333267155313,143.67506984705489
2025-09-10 00:00:00+00:00,996.9765356258079,0,0,0,0,0,-22.945505710256608,-23.497757565226284,6978175.170173052,97.75368652879611,0.0005764921395802569,145.70857948444186,12.506402168532421,100.19966240695852
2025-09-11 00:00:00+00:00,997.0802823994087,0,0,0,0,0,-22.822900853505203,-23.37540979444168,6978173.971799424,97.7536909572037,0.0005066008550849566,146.68791325025893,10.808353259224688,56.73574012989774
2025-09-12 00:00:00+00:00,998.8075671025019,0,0,0,0,0,-22.69860913202387,-23.251348455257247,6978172.777347558,97.75369540401633,0.00043629874397969025,147.6672483118566,9.0951047939448,13.28839390496309
2025-09-13 00:00:00+00:00,998.9149614943339,0,0,0,0,0,-22.57273461261528,-23.125677443501154,6978171.577763689,97.75369986967313,0.0003656426094711092,148.64658465093288,7.358247736768608,-30.13396896065149
2025-09-14 00:00:00+00:00,997.0710079218269,0,0,0,0,0,-22.44537938255479,-22.998498690796946,6978170.370068012,97.75370435209157,0.0002946915321805383,149.62592224127712,5.580266119312191,-73.51382341132081
2025-09-15 00:00:00+00:00,996.6562416138199,0,0,0,0,0,-22.31664334202865,-22.86991197313189,6978169.143334324,97.75370884917618,0.00022350372373560162,150.60526106687675,3.7221060085331144,-116.8120999764461
2025-09-16 00:00:00+00:00,998.181078574434,0,0,0,0,0,-22.186624412650055,-22.740015121100377,6978167.914882265,97.75371336464387,0.0001521418419465013,151.5846011058053,1.6700634297255752,-159.9150833208328
2025-09-17 00:00:00+00:00,998.4017038002683,0,0,0,0,0,-22.05541895536035,-22.60890442758208,6978166.670594085,97.7537178956813,8.06805806262412e-05,152.56394233650417,-1.0904369142311332,157.69181309152475
2025-09-18 00:00:00+00:00,996.8364962855743,0,0,0,0,0,-21.92312229822213,-22.476675177604243,6978165.412430754,97.75372244003573,9.644996614800771e-06,153.54328474196006,-20.516892291679582,131.96610408147993
2025-09-19 00:00:00+00:00,996.6251361998803,0,0,0,0,0,-21.78982931242144,-22.343422216381242,6978164.147250285,97.75372699974751,6.258993554699084e-05,154.5226282960096,181.00183796018345,-114.70334141983146
2025-09-20 00:00:00+00:00,998.1157564546573,0,0,0,0,0,-21.655634948084984,-22.20924051104947,6978162.868212648,97.75373157201201,0.00013404381566958014,155.50197298116888,177.72836763860397,-156.579122361921
2025-09-21 00:00:00+00:00,998.169991741386,0,0,0,0,0,-21.520634770273816,-22.07422566025972,6978161.593875151,97.75373616256874,0.00020541391602783724,156.48131877295185,-184.417539033599,160.4189984298604
